Sec,	Num,	Datetime(utc)
0000,	207,	2017-09-22 18:00:00
0001,	082,	2017-09-22 18:01:00
0002,	198,	2017-09-22 18:02:00
0003,	204,	2017-09-22 18:03:00
0004,	243,	2017-09-22 18:04:00
0005,	157,	2017-09-22 18:05:00
0006,	099,	2017-09-22 18:06:00
0007,	104,	2017-09-22 18:07:00
0008,	109,	2017-09-22 18:08:00
0009,	423,	2017-09-22 18:09:00
0010,	367,	2017-09-22 18:10:00
0011,	316,	2017-09-22 18:11:00
0012,	114,	2017-09-22 18:12:00
0013,	105,	2017-09-22 18:13:00
0014,	270,	2017-09-22 18:14:00
0015,	246,	2017-09-22 18:15:00
0016,	103,	2017-09-22 18:16:00
0017,	092,	2017-09-22 18:17:00
0018,	116,	2017-09-22 18:18:00
0019,	068,	2017-09-22 18:19:00
0020,	161,	2017-09-22 18:20:00
0021,	109,	2017-09-22 18:21:00
0022,	257,	2017-09-22 18:22:00
0023,	082,	2017-09-22 18:23:00
0024,	075,	2017-09-22 18:24:00
0025,	087,	2017-09-22 18:25:00
0026,	069,	2017-09-22 18:26:00
0027,	112,	2017-09-22 18:27:00
0028,	088,	2017-09-22 18:28:00
0029,	177,	2017-09-22 18:29:00
0030,	178,	2017-09-22 18:30:00
0031,	243,	2017-09-22 18:31:00
0032,	069,	2017-09-22 18:32:00
0033,	088,	2017-09-22 18:33:00
0034,	176,	2017-09-22 18:34:00
0035,	122,	2017-09-22 18:35:00
0036,	223,	2017-09-22 18:36:00
0037,	074,	2017-09-22 18:37:00
0038,	084,	2017-09-22 18:38:00
0039,	062,	2017-09-22 18:39:00
0040,	055,	2017-09-22 18:40:00
0041,	074,	2017-09-22 18:41:00
0042,	101,	2017-09-22 18:42:00
0043,	128,	2017-09-22 18:43:00
0044,	077,	2017-09-22 18:44:00
0045,	088,	2017-09-22 18:45:00
0046,	128,	2017-09-22 18:46:00
0047,	183,	2017-09-22 18:47:00
0048,	091,	2017-09-22 18:48:00
0049,	096,	2017-09-22 18:49:00
0050,	144,	2017-09-22 18:50:00
0051,	124,	2017-09-22 18:51:00
0052,	205,	2017-09-22 18:52:00
0053,	040,	2017-09-22 18:53:00
0054,	060,	2017-09-22 18:54:00
0055,	094,	2017-09-22 18:55:00
0056,	130,	2017-09-22 18:56:00
0057,	073,	2017-09-22 18:57:00
0058,	149,	2017-09-22 18:58:00
0059,	028,	2017-09-22 18:59:00
0060,	041,	2017-09-22 19:00:00
0061,	040,	2017-09-22 19:01:00
0062,	087,	2017-09-22 19:02:00
0063,	068,	2017-09-22 19:03:00
0064,	121,	2017-09-22 19:04:00
0065,	153,	2017-09-22 19:05:00
0066,	054,	2017-09-22 19:06:00
0067,	093,	2017-09-22 19:07:00
0068,	263,	2017-09-22 19:08:00
0069,	111,	2017-09-22 19:09:00
0070,	058,	2017-09-22 19:10:00
0071,	073,	2017-09-22 19:11:00
0072,	076,	2017-09-22 19:12:00
0073,	108,	2017-09-22 19:13:00
0074,	068,	2017-09-22 19:14:00
0075,	045,	2017-09-22 19:15:00
0076,	073,	2017-09-22 19:16:00
0077,	091,	2017-09-22 19:17:00
0078,	052,	2017-09-22 19:18:00
0079,	063,	2017-09-22 19:19:00
0080,	057,	2017-09-22 19:20:00
0081,	149,	2017-09-22 19:21:00
0082,	093,	2017-09-22 19:22:00
0083,	053,	2017-09-22 19:23:00
0084,	057,	2017-09-22 19:24:00
0085,	067,	2017-09-22 19:25:00
0086,	028,	2017-09-22 19:26:00
0087,	096,	2017-09-22 19:27:00
0088,	076,	2017-09-22 19:28:00
0089,	158,	2017-09-22 19:29:00
0090,	126,	2017-09-22 19:30:00
0091,	069,	2017-09-22 19:31:00
0092,	051,	2017-09-22 19:32:00
0093,	162,	2017-09-22 19:33:00
0094,	151,	2017-09-22 19:34:00
0095,	073,	2017-09-22 19:35:00
0096,	117,	2017-09-22 19:36:00
0097,	095,	2017-09-22 19:37:00
0098,	035,	2017-09-22 19:38:00
0099,	230,	2017-09-22 19:39:00
0100,	043,	2017-09-22 19:40:00
0101,	067,	2017-09-22 19:41:00
0102,	217,	2017-09-22 19:42:00
0103,	217,	2017-09-22 19:43:00
0104,	270,	2017-09-22 19:44:00
0105,	081,	2017-09-22 19:45:00
0106,	058,	2017-09-22 19:46:00
0107,	041,	2017-09-22 19:47:00
0108,	078,	2017-09-22 19:48:00
0109,	094,	2017-09-22 19:49:00
0110,	115,	2017-09-22 19:50:00
0111,	111,	2017-09-22 19:51:00
0112,	101,	2017-09-22 19:52:00
0113,	109,	2017-09-22 19:53:00
0114,	074,	2017-09-22 19:54:00
0115,	077,	2017-09-22 19:55:00
0116,	119,	2017-09-22 19:56:00
0117,	069,	2017-09-22 19:57:00
0118,	137,	2017-09-22 19:58:00
0119,	179,	2017-09-22 19:59:00
0120,	058,	2017-09-22 20:00:00
0121,	071,	2017-09-22 20:01:00
0122,	072,	2017-09-22 20:02:00
0123,	085,	2017-09-22 20:03:00
0124,	046,	2017-09-22 20:04:00
0125,	102,	2017-09-22 20:05:00
0126,	096,	2017-09-22 20:06:00
0127,	054,	2017-09-22 20:07:00
0128,	051,	2017-09-22 20:08:00
0129,	163,	2017-09-22 20:09:00
0130,	056,	2017-09-22 20:10:00
0131,	051,	2017-09-22 20:11:00
0132,	072,	2017-09-22 20:12:00
0133,	059,	2017-09-22 20:13:00
0134,	085,	2017-09-22 20:14:00
0135,	054,	2017-09-22 20:15:00
0136,	045,	2017-09-22 20:16:00
0137,	091,	2017-09-22 20:17:00
0138,	116,	2017-09-22 20:18:00
0139,	111,	2017-09-22 20:19:00
0140,	065,	2017-09-22 20:20:00
0141,	091,	2017-09-22 20:21:00
0142,	067,	2017-09-22 20:22:00
0143,	085,	2017-09-22 20:23:00
0144,	043,	2017-09-22 20:24:00
0145,	032,	2017-09-22 20:25:00
0146,	058,	2017-09-22 20:26:00
0147,	048,	2017-09-22 20:27:00
0148,	030,	2017-09-22 20:28:00
0149,	090,	2017-09-22 20:29:00
0150,	038,	2017-09-22 20:30:00
0151,	080,	2017-09-22 20:31:00
0152,	042,	2017-09-22 20:32:00
0153,	030,	2017-09-22 20:33:00
0154,	020,	2017-09-22 20:34:00
0155,	024,	2017-09-22 20:35:00
0156,	027,	2017-09-22 20:36:00
0157,	024,	2017-09-22 20:37:00
0158,	028,	2017-09-22 20:38:00
0159,	041,	2017-09-22 20:39:00
0160,	027,	2017-09-22 20:40:00
0161,	022,	2017-09-22 20:41:00
0162,	027,	2017-09-22 20:42:00
0163,	052,	2017-09-22 20:43:00
0164,	093,	2017-09-22 20:44:00
0165,	072,	2017-09-22 20:45:00
0166,	062,	2017-09-22 20:46:00
0167,	053,	2017-09-22 20:47:00
0168,	051,	2017-09-22 20:48:00
0169,	081,	2017-09-22 20:49:00
0170,	038,	2017-09-22 20:50:00
0171,	037,	2017-09-22 20:51:00
0172,	218,	2017-09-22 20:52:00
0173,	137,	2017-09-22 20:53:00
0174,	037,	2017-09-22 20:54:00
0175,	049,	2017-09-22 20:55:00
0176,	056,	2017-09-22 20:56:00
0177,	033,	2017-09-22 20:57:00
0178,	033,	2017-09-22 20:58:00
0179,	032,	2017-09-22 20:59:00
0180,	038,	2017-09-22 21:00:00
0181,	064,	2017-09-22 21:01:00
0182,	054,	2017-09-22 21:02:00
0183,	056,	2017-09-22 21:03:00
0184,	084,	2017-09-22 21:04:00
0185,	113,	2017-09-22 21:05:00
0186,	065,	2017-09-22 21:06:00
0187,	060,	2017-09-22 21:07:00
0188,	042,	2017-09-22 21:08:00
0189,	060,	2017-09-22 21:09:00
0190,	081,	2017-09-22 21:10:00
0191,	039,	2017-09-22 21:11:00
0192,	077,	2017-09-22 21:12:00
0193,	089,	2017-09-22 21:13:00
0194,	020,	2017-09-22 21:14:00
0195,	083,	2017-09-22 21:15:00
0196,	173,	2017-09-22 21:16:00
0197,	025,	2017-09-22 21:17:00
0198,	083,	2017-09-22 21:18:00
0199,	034,	2017-09-22 21:19:00
0200,	050,	2017-09-22 21:20:00
0201,	068,	2017-09-22 21:21:00
0202,	055,	2017-09-22 21:22:00
0203,	073,	2017-09-22 21:23:00
0204,	045,	2017-09-22 21:24:00
0205,	032,	2017-09-22 21:25:00
0206,	017,	2017-09-22 21:26:00
0207,	139,	2017-09-22 21:27:00
0208,	040,	2017-09-22 21:28:00
0209,	073,	2017-09-22 21:29:00
0210,	044,	2017-09-22 21:30:00
0211,	088,	2017-09-22 21:31:00
0212,	064,	2017-09-22 21:32:00
0213,	069,	2017-09-22 21:33:00
0214,	035,	2017-09-22 21:34:00
0215,	059,	2017-09-22 21:35:00
0216,	090,	2017-09-22 21:36:00
0217,	074,	2017-09-22 21:37:00
0218,	096,	2017-09-22 21:38:00
0219,	081,	2017-09-22 21:39:00
0220,	101,	2017-09-22 21:40:00
0221,	064,	2017-09-22 21:41:00
0222,	036,	2017-09-22 21:42:00
0223,	064,	2017-09-22 21:43:00
0224,	038,	2017-09-22 21:44:00
0225,	116,	2017-09-22 21:45:00
0226,	048,	2017-09-22 21:46:00
0227,	062,	2017-09-22 21:47:00
0228,	075,	2017-09-22 21:48:00
0229,	050,	2017-09-22 21:49:00
0230,	075,	2017-09-22 21:50:00
0231,	029,	2017-09-22 21:51:00
0232,	041,	2017-09-22 21:52:00
0233,	027,	2017-09-22 21:53:00
0234,	024,	2017-09-22 21:54:00
0235,	023,	2017-09-22 21:55:00
0236,	021,	2017-09-22 21:56:00
0237,	031,	2017-09-22 21:57:00
0238,	026,	2017-09-22 21:58:00
0239,	035,	2017-09-22 21:59:00
0240,	035,	2017-09-22 22:00:00
0241,	029,	2017-09-22 22:01:00
0242,	043,	2017-09-22 22:02:00
0243,	029,	2017-09-22 22:03:00
0244,	024,	2017-09-22 22:04:00
0245,	047,	2017-09-22 22:05:00
0246,	023,	2017-09-22 22:06:00
0247,	025,	2017-09-22 22:07:00
0248,	027,	2017-09-22 22:08:00
0249,	048,	2017-09-22 22:09:00
0250,	060,	2017-09-22 22:10:00
0251,	022,	2017-09-22 22:11:00
0252,	012,	2017-09-22 22:12:00
0253,	029,	2017-09-22 22:13:00
0254,	033,	2017-09-22 22:14:00
0255,	028,	2017-09-22 22:15:00
0256,	013,	2017-09-22 22:16:00
0257,	029,	2017-09-22 22:17:00
0258,	022,	2017-09-22 22:18:00
0259,	028,	2017-09-22 22:19:00
0260,	034,	2017-09-22 22:20:00
0261,	029,	2017-09-22 22:21:00
0262,	021,	2017-09-22 22:22:00
0263,	027,	2017-09-22 22:23:00
0264,	023,	2017-09-22 22:24:00
0265,	021,	2017-09-22 22:25:00
0266,	018,	2017-09-22 22:26:00
0267,	008,	2017-09-22 22:27:00
0268,	042,	2017-09-22 22:28:00
0269,	028,	2017-09-22 22:29:00
0270,	033,	2017-09-22 22:30:00
0271,	139,	2017-09-22 22:31:00
0272,	074,	2017-09-22 22:32:00
0273,	034,	2017-09-22 22:33:00
0274,	026,	2017-09-22 22:34:00
0275,	043,	2017-09-22 22:35:00
0276,	050,	2017-09-22 22:36:00
0277,	047,	2017-09-22 22:37:00
0278,	032,	2017-09-22 22:38:00
0279,	056,	2017-09-22 22:39:00
0280,	044,	2017-09-22 22:40:00
0281,	024,	2017-09-22 22:41:00
0282,	019,	2017-09-22 22:42:00
0283,	039,	2017-09-22 22:43:00
0284,	017,	2017-09-22 22:44:00
0285,	017,	2017-09-22 22:45:00
0286,	020,	2017-09-22 22:46:00
